,word,frequency
411,@thisisplanetfood,2
412,lasagne😍,1
413,if,3
414,fancy,1
415,quick,1
416,hassle,1
417,free,4
418,lasagne,4
419,need,3
420,this,10
421,version.,1
422,key,2
423,using,2
424,pasta,11
425,sheets.,1
426,they,2
427,cook,7
428,much,3
429,quicker,2
430,than,3
431,dried,1
432,meaning,1
433,tasty,1
434,ready,1
435,under,1
436,25,3
437,two,2
438,pots,1
439,wash!,1
440,serves,1
441,🇮🇹start,1
442,making,1
443,bolognese,1
444,saucepan,1
445,(we,2
446,used,2
447,750g,1
448,pork,2
449,mince),1
450,🍝add,1
451,serving,4
452,spoons,1
453,"air-fryer,",1
454,removing,1
455,grill,1
456,🇮🇹cover,1
457,sheets,2
458,(fresh,1
459,dried),1
460,🍝now,1
461,spoon,2
462,bechamel,2
463,🇮🇹repeat,1
464,x4,1
465,(or,1
466,"more,",1
467,depending,1
468,how,1
469,many,1
470,layers,1
471,you’d,1
472,like),1
473,🍝build,1
474,top,5
475,layer,5
476,"sheets,",1
477,good,2
478,mozzarella),1
479,🇮🇹sprinkle,1
480,basil,3
481,150c,1
482,🍝serve,1
483,salad,1
484,"bread,",1
485,bellissimo!,1
486,in-n-out/,1
487,betty’s,1
488,fakeaway,2
489,next,2
490,level,1
491,🤤🍔🔥,1
492,press,1
493,patty,1
494,an,6
495,absolute,2
496,game,1
497,changer.,1
498,washing,1
499,up,3
500,needed!,1
501,"burger,",1
502,is:,1
503,x,3
504,brioche,1
505,bun,1
506,120g,1
507,extra,1
508,lean,1
509,95%,1
510,fat,2
511,mince,1
512,(weighed,1
513,raw),1
514,50g,1
515,20g,1
516,lettuce,1
517,10g,5
518,pickles,2
519,sauce:,1
520,mayonnaise,2
521,5g,1
522,american,1
523,mustard,1
524,10ml,1
525,alongside,1
526,some,4
527,chips,1
528,(frozen,1
529,self-cut),1
530,"veg,",1
531,you’ve,1
532,got,1
533,yourself,1
534,delicious,2
535,"meal,",1
536,less,1
537,🙌,1
538,@equalution,1
539,cheesy,1
540,bread,3
541,dip!,1
542,recipe,1
543,⬇️,1
544,dip,1
545,must,1
546,appetizer,1
547,get,1
548,together!,1
549,it’s,1
550,soo,1
551,good!,1
552,𝑰𝒏𝒈𝒓𝒆𝒅𝒊𝒆𝒏𝒕𝒔:,1
553,heads,2
554,block,1
555,cream,2
556,1/2c,2
557,bag,2
558,mozzarella,6
559,shaved,1
560,parmesan,7
561,1/3c,1
562,chopped,4
563,green,2
564,2t,1
565,italian,1
566,parsley,3
567,1t,1
568,rosemary,1
569,𝑹𝒐𝒂𝒔𝒕𝒆𝒅,2
570,𝑮𝒂𝒓𝒍𝒊𝒄:,1
571,chop,1
572,tops,1
573,off,1
574,aluminum,1
575,foil,1
576,"oil,",2
577,bake,3
578,375f,4
579,1hr,1
580,𝑮𝒂𝒓𝒍𝒊𝒄,1
581,𝑫𝒊𝒑,1
582,softened,1
583,squeeze,1
584,out,1
585,half,1
586,"parmesan,",1
587,"onions,",1
588,"mayo,",1
589,"rosemary,",1
590,well,2
591,dish,1
592,rest,3
593,20min,1
594,till,3
595,@bbqfriend,1
596,lasagna!,1
597,inspired,1
598,@laurent.dagenais,1
599,lasagna,1
600,small,2
601,carrots,1
602,peeled,1
603,finely,3
604,minced,1
605,ribs,1
606,celery,1
607,3/4,2
608,lb,2
609,ground,2
610,paste,2
611,24,1
612,oz,2
613,passata,2
614,water,2
615,sprigs,1
616,rinds,1
617,optional,1
618,ricotta,5
619,egg,1
620,1/3,1
621,grated,3
622,1/4,1
623,s&p,1
624,preheat,1
625,oven,2
626,pan,1
627,medium,1
628,"heat,",1
629,once,1
630,vegetables,1
631,pinch,1
632,salt.,1
633,4-5,1
634,minutes,3
635,softened.,1
636,pork.,1
637,break,1
638,fully,1
639,brown.,2
640,minutes.,2
641,"next,",2
642,passata.,1
643,jar,1
644,vigorously,1
645,sauce.,1
646,"lastly,",1
647,rinds.,1
648,simmer,1
649,"parsley,",1
650,"cheese,",2
651,"egg,",1
652,"salt,",1
653,cheese.,1
654,combined,1
655,set,2
656,aside.,1
657,assemble.,1
658,"dish,",1
659,thin,1
660,"sauce,",1
661,single,1
662,pasta.,5
663,few,2
664,dollops,1
665,mixture.,1
666,evenly.,1
667,"then,",1
668,repeat,1
669,layering,1
670,process,1
671,twice.,1
672,when,2
673,finished,1
674,"layers,",1
675,lasagna.,1
676,25-30,1
677,remove,1
678,let,1
679,20-25,1
680,before,1
681,serving.,1
682,lasgna,1
683,plate,1
684,garnish,1
685,basil.,1
686,enjoy!,1
687,cooking_with_kian,1
688,@taylorswift,1
689,frenzy,1
690,has,4
691,reached,1
692,all-time,1
693,high.,1
694,@eater,1
695,just,2
696,released,1
697,comprehensive,1
698,map,1
699,tay,1
700,tay’s,1
701,favorite,1
702,restaurants,3
703,that,2
704,she’s,1
705,recently,1
706,frequented.,1
707,‘swiftonomics’,1
708,shaking,1
709,restaurant,6
710,scene,1
711,leading,1
712,seeing,1
713,viral,1
714,numbers.,1
715,swift,1
716,hits,1
717,include…,1
718,🍣,1
719,nobu,1
720,fifty,1
721,seven,1
722,👕,1
723,polo,1
724,bar,1
725,🍱,1
726,koi,1
727,ny,1
728,🔤,1
729,abc,1
730,cocina,1
731,🚫,1
732,do,2
733,not,1
734,disturb,1
735,🍔,1
736,waverly,1
737,inn,1
738,🍝,1
739,via,1
740,carota,2
741,#taylorswift,1
742,#swifties,1
743,#swiftonomics,1
744,#traviskelce,1
745,#newyork,1
746,#nyc,2
747,#restaurant,3
748,#restaurantindustry,1
749,#resy,1
750,legendary,1
751,steak,2
752,joint,1
753,@peterlugersteakhouse,1
754,finally,1
755,opened,3
756,las,1
757,vegas,1
758,week.,1
759,what,2
760,might,1
761,be,7
762,impressive,1
763,itself,1
764,sheer,1
765,amount,2
766,dry-aged,1
767,steaks,1
768,it,6
769,site.,1
770,dry,1
771,aging,1
772,room,2
773,around,1
774,"3,200",1
775,supersized,1
776,cuts,1
777,valued,1
778,$1,2
779,million!,1
780,ocean’s,1
781,eleven,1
782,heist,1
783,anyone?,1
784,🥷🏻,1
785,🥩💰🎰,1
786,#steak,1
787,#steakhouse,1
788,#peterluger,1
789,#lasvegas,1
790,connecticut’s,1
791,own,1
792,@darbarindia_,1
793,cultural,2
794,gem,1
795,signature,1
796,quesadilla!?,1
797,🌶️,1
798,🤯,1
799,ultimate,1
800,fusion?,1
801,#diwali,1
802,#indianfood,3
803,#india,1
804,#quesadilla,1
805,#mexican,1
806,#mexicanfood,1
807,#connecticut,1
808,trick,1
809,treat?,1
810,🎃🍰,1
811,@thejohnnycakes,1
812,brings,1
813,spiky,1
814,next-level,1
815,trickery,1
816,#dessert,4
817,#dessertporn,3
818,#cakestagram,1
819,#cakesofinstagram,1
820,#isitacake,1
821,#netflix,1
822,#baking,2
823,#halloween,1
824,#trickortreat,1
825,after,2
826,years,1
827,"service,",1
828,one,3
829,most,2
830,"disruptive,",1
831,iconic,1
832,renowned,1
833,momofuku,3
834,will,5
835,its,2
836,last,1
837,meal,1
838,nov.,1
839,5,3
840,announcement,1
841,david,2
842,chang.,1
843,while,1
844,nyc,1
845,michelin-two-star,1
846,may,1
847,"leaving,",1
848,chang,1
849,hinted,1
850,something,1
851,new,3
852,come.,1
853,"regardless,",1
854,greatly,1
855,missed.,1
856,drop,1
857,eulogy,1
858,below,1
859,🤵🤵‍♀️🪦💐,1
860,#momofuku,1
861,#davigchang,1
862,#korean,1
863,#koreanrestaurant,1
864,#newyorkcity,2
865,@mcdonalds,1
866,now,1
867,offering,1
868,friesevery,1
869,friday,1
870,end,1
871,three,1
872,year,1
873,🍟,1
874,“free,1
875,fries,1
876,fridays”,1
877,offered,1
878,purchase,1
879,mobile,1
880,app,1
881,go,1
882,12/31/23,1
883,#tgif,1
884,#mcdonalds,1
885,#fries,1
886,#frenchfries,1
887,nyc’s,1
888,in-demand,1
889,"restaurant,",1
890,carbone,2
891,debut,1
892,private,1
893,november.,1
894,privato,1
895,@majorfoodgroup,1
896,members-only,1
897,zz’s,1
898,club,2
899,manhattan,1
900,west.,1
901,60-,1
902,seat,1
903,dining,1
904,available,1
905,founding,1
906,members,2
907,who,1
908,paid,1
909,"$50,000",1
910,application,1
911,fee,1
912,their,1
913,"$10,000",2
914,annual,2
915,fee.,2
916,regular,1
917,pay,1
918,"$20,000",1
919,membership,1
920,perk?,1
921,apparently,1
922,@mariocarbone,1
923,‘s,1
924,chefs,1
925,guests,1
926,“whatever,1
927,wish”,1
928,48,1
929,hours,1
930,notice.,1
931,who’s,1
932,throwing,1
933,down?,1
934,💵🍝,1
935,#carbone,1
936,#carbonenyc,1
937,#privateclub,1
938,#italianfood,3
939,@casadonnamiami,1
940,arrived,1
941,style,1
942,miami,2
943,combination,1
944,“italian,1
945,dolce,1
946,vita”,1
947,meets,2
948,“old,2
949,hollywood”,1
950,havana,1
951,glamor”,1
952,😎,1
953,first-ever,1
954,collaboration,1
955,between,1
956,grutman,1
957,tao,1
958,group,1
959,hospitality.,1
960,weekend,1
961,hosting,1
962,biggest,1
963,names.,1
964,was,2
965,designed,1
966,architect,1
967,@kenfulk,1
968,.,62
969,landmark,1
970,mediterranean,1
971,revival,1
972,building,1
973,1926,1
974,women’s,1
975,adds,1
976,old-world,1
977,charm.,1
978,#restaurants,1
979,#hospitality,1
980,#miami,1
981,#miamibeach,1
982,#southbeach,1
983,#florida,1
984,rainbow.,1
985,ban,3
986,rainbow,1
987,🌈❌,1
988,🤔california,1
989,becomes,1
990,state,1
991,us,1
992,use,1
993,alternatives,1
994,commonly,1
995,found,2
996,"cereals,",1
997,sodas,1
998,candies.,1
999,had,1
1000,become,1
1001,know,1
1002,“the,1
1003,skittles,1
1004,ban”,1
1005,prohibits,1
1006,"manufacture,",1
1007,sale,6
1008,distribution,1
1009,brominated,1
1010,vegetable,1
1011,potassium,1
1012,"bromate,",1
1013,propylparaben,1
1014,red,1
1015,dye,1
1016,"3,",1
1017,@skittles,1
1018,think,1
1019,move?,1
1020,#california,1
1021,#candy,1
1022,#skittles,1
1023,kicks,1
1024,cake,1
1025,😯👟🎂,1
1026,jordan,1
1027,@jeffrubyscincinnati,1
1028,chef,1
1029,eric,1
1030,clark,1
1031,dylan,1
1032,jones,1
1033,masterpiece.,1
1034,tag,1
1035,sneaker,1
1036,head,1
1037,needs,1
1038,👟,1
1039,🎥,1
1040,@nicekicks,1
1041,#air,1
1042,#airjordan,1
1043,#nike,1
1044,#nikeshoes,1
1045,#nikeair,1
1046,#desserts,3
1047,#cakedecorating,1
1048,#cakedesign,1
1049,#cakeart,1
1050,issa,1
1051,snack.,1
1052,#desifood,2
1053,#foodie,10
1054,#foodphotography,6
1055,#foodporn,9
1056,#foodblogger,9
1057,#foodstagram,8
1058,#instafood,8
1059,#foodlover,5
1060,#homemade,9
1061,#yummy,10
1062,#foodnaut,10
1063,#foodiesofinstagram,3
1064,#delicious,7
1065,#indianfoodbloggers,2
1066,#foodies,5
1067,#desikhana,1
1068,#foodtalkindia,1
1069,#gharkakhana,1
1070,#healthyfood,4
1071,#tasty,7
1072,#indianstreetfood,1
1073,#desi,1
1074,#homemadefood,1
1075,"eat,",1
1076,would,1
1077,sad,1
1078,waste,1
1079,opportunity,1
1080,eat,1
1081,badly.,1
1082,#sandwich,2
1083,#lunch,4
1084,#sandwiches,2
1085,#burger,3
1086,#pizza,4
1087,#cheese,3
1088,#sandwichlover,2
1089,#sandwichesofinstagram,2
1090,#bread,1
1091,#coffee,3
1092,#dinner,5
1093,#salad,2
1094,let's,1
1095,love,1
1096,pizza,2
1097,❤️❤️,1
1098,#pizzalover,1
1099,#pizzatime,1
1100,#delivery,2
1101,#pasta,3
1102,#pizzeria,1
1103,#pizzalovers,1
1104,#pizzaria,1
1105,#love,4
1106,#instagood,5
1107,#italy,1
1108,#pizzanapoletana,2
1109,#pizzas,1
1110,"sip,",2
1111,hooray!!!,1
1112,#virginmojito,1
1113,#mojito,1
1114,#mojitos,1
1115,#drinks,1
1116,#cocktails,1
1117,#mint,1
1118,#drink,1
1119,#summer,1
1120,#lemonade,1
1121,#bhfyp,2
1122,#summerdrinks,1
1123,#mojitomocktail,1
1124,#yumyum,1
1125,#instapicture,1
1126,#refreshinglygood,1
1127,#theperfectweather,1
1128,#mocktailparties,1
1129,#cjrfoodnote,1
1130,#icedchillers,1
1131,#happyhourswithfriends,1
1132,#thursday,1
1133,#citrusmint,1
1134,#tbcspecial,1
1135,#mocktails,1
1136,combine,1
1137,"flavors,",1
1138,turns,1
1139,orchestra..,1
1140,especially,1
1141,true,1
1142,amazing,1
1143,@pzzabox,1
1144,which,1
1145,visited,1
1146,today,1
1147,😍😍,1
1148,#zingyzest,2
1149,#follow,1
1150,#like,1
1151,#photooftheday,1
1152,#picoftheday,1
1153,#foodgasm,4
1154,#cooking,1
1155,#instadaily,1
1156,#instagram,1
1157,#healthy,1
1158,news,1
1159,alert:,1
1160,hakka,1
1161,noodles,1
1162,renamed,1
1163,deen,1
1164,dayal,1
1165,upadhyay,1
1166,sewaiyyan...,1
1167,🤣🤣🤣,1
1168,#noodles,1
1169,#ramen,1
1170,#chinesefood,1
1171,#asianfood,1
1172,#noodle,1
1173,#japanesefood,1
1174,#noodlesoup,1
1175,#chicken,1
1176,#ramennoodles,1
1177,#spicy,1
1178,#homecooking,1
1179,there's,1
1180,"real,",1
1181,genuine,1
1182,"moment,",1
1183,involves,1
1184,enjoying,1
1185,sizable,1
1186,chole-bhature,1
1187,!!!,1
1188,#cholebhature,1
1189,#chole,1
1190,#bhature,1
1191,#punjabifood,1
1192,#cholekulche,1
1193,#delhifood,1
1194,#delhi,1
1195,#streetfoodindia,1
1196,#panipuri,1
1197,#golgappe,1
1198,sandwiches,1
1199,are,1
1200,wonderful.,1
1201,don't,1
1202,plate!....,1
1203,saying,1
1204,#delhiblogger,2
1205,#delhifoodie,3
1206,#,1
1207,stressed,1
1208,spelled,1
1209,backwards,1
1210,desserts,1
1211,#cake,1
1212,#chocolate,2
1213,#sweet,2
1214,#icecream,2
1215,#pastry,1
1216,#sweets,1
1217,#cakes,1
1218,#sweettooth,2
1219,#bakery,1
1220,#cookies,1
1221,#birthdaycake,1
1222,i,10
1223,followed,1
1224,heart,1
1225,led,1
1226,me,2
1227,here,1
1228,🥺🥺,1
1229,#gelato,1
1230,#icecreamlover,1
1231,#blackpink,1
1232,#milkshake,1
1233,#yum,1
1234,non,3
1235,parlo,1
1236,di,52
1237,pizze,1
1238,ma,4
1239,questa,5
1240,mangiata,1
1241,qualche,4
1242,tempo,1
1243,fa,1
1244,la,26
1245,ricordo,1
1246,ancora,1
1247,quanto,1
1248,era,1
1249,buona.,1
1250,è,13
1251,sophia,1
1252,loren,1
1253,della,5
1254,pizzeria,1
1255,rosticceria,1
1256,s.,2
1257,antonio,1
1258,situata,1
1259,egidio,1
1260,del,4
1261,monte,1
1262,albino,1
1263,provincia,1
1264,salerno.,1
1265,fanno,1
1266,una,14
1267,ruota,1
1268,carro,1
1269,"classica,",1
1270,cornicione,1
1271,basso,1
1272,quasi,1
1273,"assente,",1
1274,impasto,1
1275,leggero,1
1276,e,75
1277,saporito,2
1278,che,6
1279,sparisce,1
1280,bocca,3
1281,come,4
1282,incanto,1
1283,lascia,1
1284,spazio,1
1285,alla,7
1286,bontà,1
1287,degli,2
1288,ingredienti.,1
1289,questi,5
1290,sono,2
1291,alta,2
1292,qualità,3
1293,molti,1
1294,km.,1
1295,0,1
1296,prodotti,1
1297,direttamente,1
1298,dai,1
1299,proprietari,1
1300,campagna.,1
1301,"pomodorini,",1
1302,"rucola,",1
1303,fior,1
1304,latte,2
1305,"agerola,",1
1306,bacon,1
1307,affumicato,1
1308,cotto,1
1309,"vapore,",1
1310,scaglie,1
1311,bufala,1
1312,stagionata,1
1313,salsiccia,2
1314,paesana,1
1315,sbriciolata,2
1316,creano,2
1317,combo,1
1318,magica,1
1319,ed,5
1320,subito,1
1321,festa,1
1322,il,31
1323,palato!,1
1324,bello,1
1325,scovare,1
1326,posticini,1
1327,poco,3
1328,"pubblicizzati,",1
1329,spartani,1
1330,essenziali,1
1331,puntano,1
1332,sulla,2
1333,"concretezza,",1
1334,ci,1
1335,stato,1
1336,più,1
1337,volte,1
1338,posso,1
1339,dire,1
1340,garanzia!,1
1341,🤤😋,10
1342,#jammgnam,10
1343,#jammgnamfood,10
1344,questo,7
1345,periodo,1
1346,caldo,1
1347,inizia,1
1348,farsi,1
1349,sentire,1
1350,quindi...,1
1351,oggi,9
1352,mangio,8
1353,queste,1
1354,tagliatelle,1
1355,con,16
1356,"tonno,",1
1357,succo,2
1358,limone,2
1359,"prezzemolo,",1
1360,fatte,1
1361,belle,1
1362,sciuè,2
1363,semplici,2
1364,fresche,1
1365,dal,3
1366,gusto,3
1367,ricco!,1
1368,procedimento:,6
1369,prima,5
1370,cosa,2
1371,mettete,3
1372,l’acqua,1
1373,sul,1
1374,fuoco.,1
1375,padella,11
1376,mettere,1
1377,"l'aglio,",2
1378,l'olio,3
1379,"extravergine,",1
1380,peperoncino,7
1381,prezzemolo.,1
1382,fare,4
1383,soffriggere,2
1384,minuto,4
1385,successivamente,1
1386,aggiungere,2
1387,un,20
1388,po',4
1389,d'acqua,3
1390,"sale,",2
1391,sempre,3
1392,attenzione,1
1393,seccare,1
1394,troppo.,1
1395,quando,4
1396,manca,1
1397,cottura,2
1398,delle,3
1399,"tagliatelle,",1
1400,scolarle,1
1401,tuffarle,1
1402,nella,5
1403,col,1
1404,condimento.,1
1405,togliere,1
1406,l'aglio.,1
1407,tonno,1
1408,saltare,2
1409,tutto,5
1410,aggiungendo,4
1411,mezzo,2
1412,limone.,1
1413,#tonno,1
1414,#limone,1
1415,#prezzemolo,1
1416,#caldo,1
1417,meravigliosi,2
1418,tradizionali,1
1419,spaghetti,4
1420,partenopei,1
1421,soffritto,3
1422,napoletano,1
1423,('o,1
1424,suffritt),1
1425,fatto,3
1426,regola,1
1427,d'arte,1
1428,mio,1
1429,macellaio,1
1430,"fiducia,",1
1431,chiamato,1
1432,così,1
1433,perché,2
1434,pezzi,1
1435,carne,2
1436,vengono,1
1437,soffritti,1
1438,nello,1
1439,strutto.,1
1440,da,2
1441,vecchia,1
1442,tradizione,1
1443,interiora,1
1444,maiale,1
1445,"(fegato,",1
1446,"polmone,",1
1447,"milza,",1
1448,"cuore,",1
1449,trachea),1
1450,crema,2
1451,"peperoni,",1
1452,sugo,2
1453,molto,1
1454,piccante,3
1455,immancabili,1
1456,foglie,1
1457,alloro.,1
1458,piatto,6
1459,antiche,1
1460,tradizioni,1
1461,radicato,1
1462,cultura,1
1463,"napoletana,",1
1464,mangiandolo,1
1465,fai,1
1466,viaggio,1
1467,altre,1
1468,"epoche,",1
1469,"essenziale,",1
1470,duro,1
1471,puro,1
1472,ti,5
1473,trasporta,1
1474,nel,4
1475,mito!,1
1476,#napoli,1
1477,#cibonapoletano,1
1478,#soffrittonapoletano,1
1479,strozzapreti,1
1480,boscaiola,1
1481,bianca,2
1482,funghi,2
1483,"porcini,",1
1484,pizzico,1
1485,panna.,1
1486,fresca,1
1487,condimento,4
1488,si,4
1489,amalgamano,1
1490,previsti,1
1491,momenti,1
1492,piacere!,2
1493,antiaderente,1
1494,extravergine,4
1495,l'aglio,3
1496,"(sedano,",1
1497,cipolla),1
1498,fate,8
1499,rosolare,2
1500,fino,2
1501,doratura.,1
1502,unite,4
1503,continuate,1
1504,"cottura,",1
1505,sfumare,1
1506,vino,2
1507,bianco,2
1508,aggiungete,9
1509,pepe.,1
1510,spellare,1
1511,"salsiccia,",1
1512,sbriciolatela,1
1513,bene,2
1514,unitela,1
1515,al,7
1516,portando,1
1517,cottura.,2
1518,panna,1
1519,mescolare,1
1520,bene.,1
1521,pentola,3
1522,bollire,2
1523,abbondante,2
1524,acqua,3
1525,"salata,",1
1526,buttate,1
1527,scolatela,1
1528,"dente,",1
1529,aggiungetela,1
1530,mantecare,1
1531,saltando,1
1532,dovere,1
1533,tenendo,1
1534,cremoso,1
1535,tutto.,2
1536,dopo,1
1537,le,10
1538,promiscue,1
1539,gozzoviglie,1
1540,pasquali,1
1541,fatti,1
1542,pomodorini,1
1543,freschi...,1
1544,faccio,1
1545,detox,1
1546,qualità!,1
1547,secondo,1
1548,meraviglioso,1
1549,coniglio,3
1550,paesano,1
1551,ben,1
1552,insaporito,1
1553,piace,1
1554,me!,1
1555,sua,2
1556,bella,3
1557,tenace,1
1558,saporita,1
1559,esplode,1
1560,rende,1
1561,vortice,1
1562,rapisce,1
1563,primo,1
1564,morso!,1
1565,bagno,1
1566,fredda,1
1567,spremuto,1
1568,poi,3
1569,lasciato,1
1570,pezzi.,1
1571,lasciate,3
1572,ammollo,1
1573,paio,1
1574,"d'ore,",1
1575,scolate,3
1576,asciugate,1
1577,coniglio.,1
1578,scaldare,1
1579,"burro,",1
1580,fatelo,1
1581,circa,2
1582,minuti,3
1583,parte.,2
1584,sfumate,1
1585,"bianco,",1
1586,cipolla,1
1587,"tritata,",1
1588,aglio,2
1589,tritato,2
1590,"finemente,",1
1591,rosmarino,1
1592,salvia,1
1593,tritati.,1
1594,cuocere,3
1595,ora,1
1596,mezza,1
1597,"circa,",1
1598,man,1
1599,mano,1
1600,"serve,",1
1601,fine,2
1602,tritato.,1
1603,meravigliosa,1
1604,mista,2
1605,"cavolfiore,",2
1606,filetti,3
1607,alici,5
1608,nere,4
